Geo Point;Geo Shape;OBJID;ID;Fusswegtyp;Strassenkategorie;Bemerkung
47.5472468385,7.563047176;"{""type"": ""LineString"", ""coordinates"": [[7.562307002466148, 47.546504713293416], [7.562141678765486, 47.54700629953121], [7.562069737718101, 47.547249351051796], [7.562113277457117, 47.54726484620644], [7.563877931023318, 47.5475083872845], [7.563927427552901, 47.5474919655073], [7.564455448369602, 47.54708243311286]]}";172;172;Trottoir;Zone30;
47.5458838101,7.56454669474;"{""type"": ""LineString"", ""coordinates"": [[7.56459350010341, 47.546121435649596], [7.564518860911273, 47.545726384186246], [7.564482449084079, 47.5456519820768]]}";180;180;Trottoir;Zone50;
47.5509468664,7.56491959544;"{""type"": ""LineString"", ""coordinates"": [[7.564829832961295, 47.55133844843685], [7.564832071634581, 47.551290680228114], [7.564997291208399, 47.55063768125974], [7.565022156774174, 47.55055769990226]]}";193;193;Strasse;Begegnungszone;
47.5472957181,7.56484816923;"{""type"": ""LineString"", ""coordinates"": [[7.564539469919159, 47.54714564955591], [7.564634814064346, 47.5470980955584], [7.564710909713818, 47.54708982903808], [7.564785892799786, 47.547116747259814], [7.564835531541029, 47.547160870929424], [7.564927803424577, 47.54734811110196], [7.565039693722497, 47.54765803178369]]}";208;208;Trottoir;Zone50;
47.5472511441,7.56625871734;"{""type"": ""LineString"", ""coordinates"": [[7.566623309986341, 47.54737754377056], [7.565894124686555, 47.54712474437745]]}";210;210;Trottoir;Zone50;
47.5468379245,7.56546193;"{""type"": ""LineString"", ""coordinates"": [[7.56569934152688, 47.54651303915742], [7.565361415241066, 47.546677839638264], [7.56521661773438, 47.54675898564111], [7.565191362379312, 47.546808091992304], [7.565209653130532, 47.546875156613694], [7.565267772990458, 47.54692745522319], [7.565322202581132, 47.54695274954675], [7.56583608377901, 47.54710599272471]]}";215;215;Trottoir;Zone50;
47.5480324748,7.56605650676;"{""type"": ""LineString"", ""coordinates"": [[7.565190062992691, 47.54769049813714], [7.566922950517641, 47.54837445153614]]}";217;217;Trottoir;Begegnungszone;
47.5453011093,7.55622593084;"{""type"": ""LineString"", ""coordinates"": [[7.556222070099675, 47.54527692301261], [7.556217859506908, 47.54530118343594], [7.556243311218729, 47.54531984683974]]}";225;225;Trottoir;Zone50;
47.5819706075,7.6453334311;"{""type"": ""LineString"", ""coordinates"": [[7.645821931429944, 47.582109277117574], [7.645437516864873, 47.58200020197072], [7.645259697997401, 47.58195050395369], [7.644922056445569, 47.58185385425387], [7.644875296351304, 47.581840734404054], [7.644852613486607, 47.581818542244655]]}";229;229;Trottoir;Zone50;
47.5808250496,7.64215081611;"{""type"": ""LineString"", ""coordinates"": [[7.642665666272006, 47.58112807562407], [7.642615294586895, 47.58111218214703], [7.642447604671828, 47.58102286293812], [7.6423313394404, 47.58095707988392], [7.642222302583089, 47.58090099723351], [7.64213070510516, 47.58084489299051], [7.642049390461486, 47.580790848245044], [7.641977316599494, 47.58073400825762], [7.641870161344535, 47.580634338663884], [7.641797990534274, 47.58055544625343], [7.641689762134053, 47.58044604720939]]}";230;230;Trottoir;Zone50;
