Geo Point,Geo Shape,OBJID,ID,Strassenkategorie,Bewertung,Bemerkung,Tram,Konfliktgrün,Lichtsignalanlage,Vortritt-Typ,lat,long
"47.5925282652,7.65438089756","{""type"": ""LineString"", ""coordinates"": [[7.654375410800871, 47.59249480554644], [7.654386384325674, 47.5925617248266]]}",3108,3108,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5925282652,7.65438089756
"47.5897306117,7.65168670563","{""type"": ""LineString"", ""coordinates"": [[7.651710694191491, 47.58977688953094], [7.651662717071647, 47.589684333826725]]}",3112,3112,Zone50,0.3,,Nein,Nein,Nein,Fussgaengerstreifen,47.5897306117,7.65168670563
"47.5895556432,7.65189634143","{""type"": ""LineString"", ""coordinates"": [[7.651850862369283, 47.58955249332267], [7.65194182049056, 47.589558793118094]]}",3113,3113,Zone50,0.5,,Ja,Nein,Nein,ohne,47.5895556432,7.65189634143
"47.5895596389,7.6520005115","{""type"": ""LineString"", ""coordinates"": [[7.652059203733762, 47.589560790404384], [7.651941819266269, 47.5895584873365]]}",3115,3115,Zone50,0.3,,Nein,Nein,Nein,Fussgaengerstreifen,47.5895596389,7.6520005115
"47.5888999731,7.65190723032","{""type"": ""LineString"", ""coordinates"": [[7.651953088045426, 47.58889988910616], [7.651861372585633, 47.58890005713827]]}",3116,3116,Zone50,0.5,,Ja,Nein,Nein,ohne,47.5888999731,7.65190723032
"47.5888994057,7.65180459079","{""type"": ""LineString"", ""coordinates"": [[7.651861372657621, 47.58890007512542], [7.65174780893062, 47.58889873617823]]}",3117,3117,Zone50,0.3,,Nein,Nein,Nein,Fussgaengerstreifen,47.5888994057,7.65180459079
"47.588899451,7.65201058336","{""type"": ""LineString"", ""coordinates"": [[7.65206808158963, 47.58889974127915], [7.651953085128611, 47.58889916062624]]}",3118,3118,Zone50,0.3,,Nein,Nein,Nein,Fussgaengerstreifen,47.588899451,7.65201058336
"47.5887353461,7.65211974851","{""type"": ""LineString"", ""coordinates"": [[7.652144548739405, 47.58877684678447], [7.652094948289169, 47.58869384545481]]}",3119,3119,Zone40,0.5,,Nein,Nein,Nein,Fussgaengerstreifen,47.5887353461,7.65211974851
"47.588524787,7.65273178594","{""type"": ""LineString"", ""coordinates"": [[7.652771217018135, 47.588508494450146], [7.652692354862337, 47.588541079579635]]}",3121,3121,Zone30,0.1,,Nein,Nein,Nein,Trottoirueberfahrt,47.588524787,7.65273178594
"47.5583227506,7.57115877312","{""type"": ""LineString"", ""coordinates"": [[7.571048859144867, 47.558371168990305], [7.571217287102469, 47.55831052187877], [7.571231985223124, 47.55824223380527]]}",3579,3579,Zone30,0.1,,Nein,Nein,Nein,Fussgaengerstreifen,47.5583227506,7.57115877312
"47.5470990167,7.56587982796","{""type"": ""LineString"", ""coordinates"": [[7.56583608377901, 47.54710599272471], [7.565894124686555, 47.54712474437745], [7.565888733764206, 47.54704752083821]]}",3581,3581,Zone50,0.1,,Nein,Nein,Nein,Trottoirueberfahrt,47.5470990167,7.56587982796
"47.5366544671,7.60944936067","{""type"": ""LineString"", ""coordinates"": [[7.609348405798098, 47.53664512487381], [7.60944765239952, 47.536656815148966], [7.609550653398129, 47.53665890343973]]}",3583,3583,Zone50,0.5,,Nein,Nein,Nein,ohne,47.5366544671,7.60944936067
"47.558314784,7.58077736843","{""type"": ""LineString"", ""coordinates"": [[7.580684916424724, 47.55819038019183], [7.580843536415759, 47.55837768807218], [7.580791191626854, 47.55843904414729]]}",3584,3584,Zone50,0.1,,Ja,Nein,Ja,Fussgaengerstreifen,47.558314784,7.58077736843
"47.5808979879,7.59291171468","{""type"": ""LineString"", ""coordinates"": [[7.592780053106517, 47.58099515189512], [7.592863085413978, 47.580920322797766], [7.592942113871565, 47.58087214714073], [7.593055782309452, 47.580819716523415]]}",3586,3586,Zone50,0.5,,Ja,Nein,Nein,Fussgaengerstreifen,47.5808979879,7.59291171468
"47.5583885845,7.58096455146","{""type"": ""LineString"", ""coordinates"": [[7.580843536415759, 47.55837768807218], [7.580975903090534, 47.55839032463677], [7.581085695956277, 47.55839790717467]]}",3587,3587,Zone50,0.5,Konfliktgrün,Nein,Ja,Ja,Fussgaengerstreifen,47.5583885845,7.58096455146
"47.5604238895,7.58718880496","{""type"": ""LineString"", ""coordinates"": [[7.587078194822007, 47.56054558847002], [7.587233311847786, 47.56038012221949], [7.587290607888167, 47.560295166422364]]}",3591,3591,Zone30,0.3,,Ja,Nein,Nein,Fussgaengerstreifen,47.5604238895,7.58718880496
"47.5729984397,7.59572121","{""type"": ""LineString"", ""coordinates"": [[7.595720155744661, 47.57303987048662], [7.595722264246553, 47.57295700884781]]}",2983,2983,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5729984397,7.59572121
"47.5730499284,7.59646361505","{""type"": ""LineString"", ""coordinates"": [[7.596395975494505, 47.573050109906355], [7.59653125461453, 47.573049746854316]]}",2986,2986,Zone30,0.1,Tempo 30,Nein,Nein,Nein,ohne,47.5730499284,7.59646361505
"47.5673493425,7.59654792809","{""type"": ""LineString"", ""coordinates"": [[7.596497558168206, 47.56734065985058], [7.596598298002993, 47.56735802509537]]}",2990,2990,Zone30,0.1,,Nein,Nein,Nein,Trottoirueberfahrt,47.5673493425,7.59654792809
"47.5722162323,7.59499190317","{""type"": ""LineString"", ""coordinates"": [[7.594981126786348, 47.57215330442737], [7.595002679550519, 47.572279160124644]]}",2991,2991,Zone30,0.3,,Nein,Nein,Nein,Fussgaengerstreifen,47.5722162323,7.59499190317
"47.5722789855,7.59513278083","{""type"": ""LineString"", ""coordinates"": [[7.595133844875711, 47.57224074294596], [7.595131716789382, 47.57231722809836]]}",2992,2992,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5722789855,7.59513278083
"47.5723362297,7.59506623313","{""type"": ""LineString"", ""coordinates"": [[7.595001243832421, 47.57233346591847], [7.595131222420849, 47.57233899347883]]}",2993,2993,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5723362297,7.59506623313
"47.5718233566,7.59795389028","{""type"": ""LineString"", ""coordinates"": [[7.597834583059068, 47.571830750658954], [7.598073197494842, 47.5718159626309]]}",3000,3000,Zone50,0.5,,Nein,Nein,Nein,Fussgaengerstreifen,47.5718233566,7.59795389028
"47.5671325108,7.59243365426","{""type"": ""LineString"", ""coordinates"": [[7.592429044435693, 47.567167574322546], [7.592438264079355, 47.56709744726525]]}",3005,3005,Zone30,0.1,Tempo 30,Nein,Nein,Nein,ohne,47.5671325108,7.59243365426
"47.5465488509,7.58088920302","{""type"": ""LineString"", ""coordinates"": [[7.580852437506597, 47.54658747000493], [7.580925968535289, 47.54651023176268]]}",3010,3010,Zone30,0.1,Tempo 30,Nein,Nein,Nein,ohne,47.5465488509,7.58088920302
"47.5464262462,7.58094585609","{""type"": ""LineString"", ""coordinates"": [[7.580966112202888, 47.546480683207754], [7.580925599972072, 47.54637180917159]]}",3011,3011,Zone30,0.1,Tempo 30,Nein,Nein,Nein,ohne,47.5464262462,7.58094585609
"47.5465672479,7.58068984031","{""type"": ""LineString"", ""coordinates"": [[7.580772036390151, 47.54659891819281], [7.580607644229038, 47.54653557756267]]}",3014,3014,Zone30,0.1,Tempo 30,Nein,Nein,Nein,ohne,47.5465672479,7.58068984031
"47.5451508758,7.57906595793","{""type"": ""LineString"", ""coordinates"": [[7.579070951033534, 47.545183220358425], [7.579060964826231, 47.545118531213134]]}",3019,3019,Zone30,0.1,Tempo 30,Nein,Nein,Nein,ohne,47.5451508758,7.57906595793
"47.5451707186,7.58006081767","{""type"": ""LineString"", ""coordinates"": [[7.580104656512501, 47.54517241017727], [7.580016978830825, 47.54516902695999]]}",3020,3020,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5451707186,7.58006081767
"47.5613923243,7.58618682694","{""type"": ""LineString"", ""coordinates"": [[7.586070243352763, 47.561310848091395], [7.586175510945188, 47.561394986058076], [7.586312110121886, 47.56145989164824]]}",3596,3596,Zone30,0.3,,Ja,Nein,Nein,Fussgaengerstreifen,47.5613923243,7.58618682694
"47.544542982,7.59892655696","{""type"": ""LineString"", ""coordinates"": [[7.598879795624338, 47.54446392962711], [7.598913900956147, 47.544541813767566], [7.598988759239044, 47.54461104375282]]}",3597,3597,andere,0.3,,Ja,Nein,Nein,Fussgaengerstreifen,47.544542982,7.59892655696
"47.5879347141,7.65399192106","{""type"": ""LineString"", ""coordinates"": [[7.654017476653943, 47.58797535408054], [7.653966365475671, 47.587894074105705]]}",3123,3123,Zone40,0.3,,Nein,Nein,Nein,Fussgaengerstreifen,47.5879347141,7.65399192106
"47.5880090914,7.65380963669","{""type"": ""LineString"", ""coordinates"": [[7.653782241884389, 47.58797220963494], [7.653837031493925, 47.58804597319107]]}",3124,3124,Zone40,0.3,,Nein,Nein,Nein,Fussgaengerstreifen,47.5880090914,7.65380963669
"47.5879229465,7.65388461182","{""type"": ""LineString"", ""coordinates"": [[7.653933470509838, 47.58790576374205], [7.65383575313772, 47.58794012930123]]}",3125,3125,Zone30,0.1,,Nein,Nein,Nein,Trottoirueberfahrt,47.5879229465,7.65388461182
"47.5880017252,7.65394846162","{""type"": ""LineString"", ""coordinates"": [[7.653879446592956, 47.588028096336096], [7.654017476653943, 47.58797535408054]]}",3126,3126,Zone30,0.1,,Nein,Nein,Nein,Trottoirueberfahrt,47.5880017252,7.65394846162
"47.5804867387,7.64925445235","{""type"": ""LineString"", ""coordinates"": [[7.649222630264971, 47.58044612692369], [7.649286274433223, 47.58052735053099]]}",3133,3133,Zone40,0.3,,Nein,Nein,Nein,Fussgaengerstreifen,47.5804867387,7.64925445235
"47.5810480657,7.64909259929","{""type"": ""LineString"", ""coordinates"": [[7.649071746164608, 47.58108734278384], [7.649113452407955, 47.58100878860817]]}",3137,3137,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5810480657,7.64909259929
"47.5795031596,7.65003055215","{""type"": ""LineString"", ""coordinates"": [[7.649980132650198, 47.57948878934609], [7.650080971651536, 47.5795175298599]]}",3141,3141,Zone40,0.5,,Nein,Nein,Nein,ohne,47.5795031596,7.65003055215
"47.576828361,7.65120665037","{""type"": ""LineString"", ""coordinates"": [[7.651152799555427, 47.57682620648534], [7.651260501190895, 47.57683051560678]]}",3144,3144,Zone40,0.5,,Nein,Nein,Nein,ohne,47.576828361,7.65120665037
"47.577822993,7.65093919549","{""type"": ""LineString"", ""coordinates"": [[7.650889179998147, 47.57781294384392], [7.650989210972424, 47.57783304212566]]}",3145,3145,Zone40,0.5,,Nein,Nein,Nein,ohne,47.577822993,7.65093919549
"47.5774104274,7.65109850211","{""type"": ""LineString"", ""coordinates"": [[7.651157043329103, 47.577417083765816], [7.651039960881998, 47.57740377100359]]}",3146,3146,Zone40,0.5,,Nein,Nein,Nein,ohne,47.5774104274,7.65109850211
